hunmin,jamo,chosung,simplified,traditional,intonation,priority
구단,ㄱㅜㄷㅏㄴ,ㄱㄷ,孤单 ,,"1,1",1
구뎬,ㄱㅜㄷㅖㄴ,ㄱㄷ,古典 ,,"3,3",1
구두,ㄱㅜㄷㅜ,ㄱㄷ,孤独 ,,"1,2",1
구둥,ㄱㅜㄷㅜㅇ,ㄱㄷ,古董 ,,"3,3",2
구둥,ㄱㅜㄷㅜㅇ,ㄱㄷ,股东 ,,"3,1",1
구둥,ㄱㅜㄷㅜㅇ,ㄱㄷ,鼓动 ,,"3,4",3
구뤼,ㄱㅜㄹㅜㅣ,ㄱㄹ,顾虑 ,,"4,4",1
구리,ㄱㅜㄹㅣ,ㄱㄹ,鼓励 ,,"3,4",1
구리,ㄱㅜㄹㅣ,ㄱㄹ,孤立 ,,"1,4",2
구ᄛᅡᆫ,ㄱㅜㄹ`ㅏㄴ,ㄱㄹ`,固然 ,,"4,2",1
구ᄵᅳ,ㄱㅜㅅ`ᅳ,ㄱㅅ`,故事 ,,"4,4",1
구우,ㄱㅜㅇㅜ,ㄱㅇ,鼓舞 ,,"3,3",1
구원,ㄱㅜㅇㅜㅓㄴ,ㄱㅇ,顾问 ,,"4,4",1
구유,ㄱㅜㅇㅠ,ㄱㅇ,固有 ,,"4,3",1
구융,ㄱㅜㅇㅠㅇ,ㄱㅇ,雇佣 ,,"4,1",1
구이,ㄱㅜㅇㅣ,ㄱㅇ,柜,櫃,4,4
구이,ㄱㅜㅇㅣ,ㄱㅇ,桂,桂,4,5
구이,ㄱㅜㅇㅣ,ㄱㅇ,贵,貴,4,1
구이,ㄱㅜㅇㅣ,ㄱㅇ,规,规,1,6
구이,ㄱㅜㅇㅣ,ㄱㅇ,鬼,鬼,3,3
구이,ㄱㅜㅇㅣ,ㄱㅇ,瑰,瑰,1,7
구이,ㄱㅜㅇㅣ,ㄱㅇ,归,歸,1,2
구이,ㄱㅜㅇㅣ,ㄱㅇ,故意 ,,"4,4",1
구이 거,ㄱㅜㅇㅣㄱㅓ,ㄱㅇㄱ,规格 ,,"1,2",1
구이 건 다오 디,ㄱㅜㅇㅣㄱㅓㄴㄷㅏㅇㅗㄷㅣ,ㄱㅇㄱㄷㅇㄷ,归根到底 ,,"1,1,4,3",1
구이 나,ㄱㅜㅇㅣㄴㅏ,ㄱㅇㄴ,归纳 ,,"1,4",1
구이 다오,ㄱㅜㅇㅣㄷㅏㅇㅗ,ㄱㅇㄷㅇ,轨道 ,,"3,4",1
구이 딩,ㄱㅜㅇㅣㄷㅣㅇ,ㄱㅇㄷ,规定 ,,"1,4",1
구이 뤼,ㄱㅜㅇㅣㄹㅜㅣ,ㄱㅇㄹ,规律 ,,"1,4",1
구이 모,ㄱㅜㅇㅣㅁㅗ,ㄱㅇㅁ,规模 ,,"1,2",1
구이 쟝,ㄱㅜㅇㅣㅈㅑㅇ,ㄱㅇㅈ,规章 ,,"1,1",1
구이 저,ㄱㅜㅇㅣㅈㅓ,ㄱㅇㅈ,规则 ,,"1,2",1
구이 주,ㄱㅜㅇㅣㅈㅜ,ㄱㅇㅈ,贵族 ,,"4,2",1
구이 쥐,ㄱㅜㅇㅣㅈㅜㅣ,ㄱㅇㅈ,规矩 ,,"1,0",1
구이 타이,ㄱㅜㅇㅣㅌㅏㅇㅣ,ㄱㅇㅌㅇ,柜台 ,,"4,2",1
구이 ᅗᅡᆫ,ㄱㅜㅇㅣㅍ`ㅏㄴ,ㄱㅇㅍ`,规范 ,,"1,4",1
구이 화,ㄱㅜㅇㅣㅎㅗㅏ,ㄱㅇㅎ,规划 ,,"1,4",1
구이 환,ㄱㅜㅇㅣㅎㅗㅏㄴ,ㄱㅇㅎ,归还 ,,"1,2",1
구쟝,ㄱㅜㅈㅑㅇ,ㄱㅈ,鼓掌 ,,"3,3",2
구쟝,ㄱㅜㅈㅑㅇ,ㄱㅈ,故障 ,,"4,4",1
구지,ㄱㅜㅈㅣ,ㄱㅈ,估计 ,,"1,4",1
구ᅍᅳ,ㄱㅜㅈ`ᅳ,ㄱ,固执 ,,"4,2",1
구쳬,ㄱㅜㅊㅖ,ㄱㅊ,姑且 ,,"1,3",1
구커,ㄱㅜㅋㅓ,ㄱㅋ,顾客 ,,"4,4",1
구티,ㄱㅜㅌㅣ,ㄱㅌ,固体 ,,"4,3",1
구ᅗᅥᆫ,ㄱㅜㅍ`ㅓㄴ,ㄱㅍ`,股份 ,,"3,4",1
구ᅗᅮ,ㄱㅜㅍ`ᅮ,ㄱㅍ`,辜负 ,,"1,4",1
군,ㄱㅜㄴ,ㄱ,棍,棍,4,2
군,ㄱㅜㄴ,ㄱ,滚,滚,3,1
군방,ㄱㅜㄴㅂㅏㅇ,ㄱㅂ,棍棒 ,,"4,4",1
궁,ㄱㅜㅇ,ㄱ,共,共,4,3
궁,ㄱㅜㅇ,ㄱ,贡,贡,4,7
궁,ㄱㅜㅇ,ㄱ,公,公,1,1
궁,ㄱㅜㅇ,ㄱ,功,功,1,6
궁,ㄱㅜㅇ,ㄱ,工,工,1,5
궁,ㄱㅜㅇ,ㄱ,恭,恭,1,8
궁,ㄱㅜㅇ,ㄱ,宫,宫,1,2
궁,ㄱㅜㅇ,ㄱ,红,红,1,9
궁,ㄱㅜㅇ,ㄱ,供,供,1,4
궁 가오,ㄱㅜㅇㄱㅏㅇㅗ,ㄱㄱㅇ,公告 ,,"1,4",1
궁 궁 치 쳐,ㄱㅜㅇㄱㅜㅇㅊㅣㅊㅕ,ㄱㄱㅊㅊ,公共汽车 ,,"1,4,4,1",1
궁 다오,ㄱㅜㅇㄷㅏㅇㅗ,ㄱㄷㅇ,公道 ,,"1,4",1
궁 라오,ㄱㅜㅇㄹㅏㅇㅗ,ㄱㄹㅇ,功劳 ,,"1,2",1
궁 부 잉 치우,ㄱㅜㅇㅂㅜㅇㅣㅇㅊㅣㅇㅜ,ㄱㅂㅇㅊㅇ,供不应求 ,,"1,4,4,2",1
궁 시아오,ㄱㅜㅇㅅㅣㅇㅏㅇㅗ,ㄱㅅㅇㅇ,功效 ,,"1,4",1
궁 안 쥐,ㄱㅜㅇㅇㅏㄴㅈㅜㅣ,ㄱㅇㅈ,公安局 ,,"1,1,2",1
궁 위안,ㄱㅜㅇㅇㅜㅣㅇㅏㄴ,ㄱㅇㅇ,公园 ,,"1,2",1
궁 위안,ㄱㅜㅇㅇㅜㅣㅇㅏㄴ,ㄱㅇㅇ,公元 ,,"1,2",2
궁 쳥 ᄵᅳ,ㄱㅜㅇㅊㅕㅇㅅ`ᅳ,ㄱㅊㅅ`,工程师 ,,"1,2,1",1
궁 카이,ㄱㅜㅇㅋㅏㅇㅣ,ㄱㅋㅇ,公开 ,,"1,1",1
궁 허 궈,ㄱㅜㅇㅎㅓㄱㅜㅓ,ㄱㅎㄱ,共和国 ,,"4,2,2",1
궁관,ㄱㅜㅇㄱㅗㅏㄴ,ㄱㄱ,公关 ,,"1,1",1
궁구,ㄱㅜㅇㄱㅜ,ㄱㄱ,巩固 ,,"3,4",1
